Fecha,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
27/01/2022,nr,nr,59,nr,nr,100,nr,82,nr,nr,49,nr,66,73,nr,90,88,nr,45,nr,nr,nr,78,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
28/01/2022,nr,nr,103,nr,nr,96,nr,100,nr,nr,69,nr,79,64,nr,62,64,nr,51,nr,nr,nr,54,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
29/01/2022,nr,nr,78,nr,nr,107,nr,93,nr,nr,74,nr,95,83,nr,86,90,nr,43,nr,nr,nr,71,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
30/01/2022,nr,nr,83,nr,nr,93,nr,83,nr,nr,89,nr,66,60,nr,92,85,nr,27,nr,nr,nr,55,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
31/01/2022,nr,nr,59,nr,nr,43,nr,43,nr,nr,59,nr,40,38,nr,59,56,nr,30,nr,nr,nr,44,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
01/02/2022,80,nr,72,nr,nr,44,nr,43,nr,nr,63,nr,40,6,nr,22,53,nr,30,nr,nr,nr,52,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
02/02/2022,70,nr,69,nr,nr,78,nr,74,nr,nr,57,nr,54,100,nr,69,72,nr,38,nr,nr,nr,65,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
03/02/2022,68,nr,60,nr,nr,65,nr,63,nr,nr,55,nr,52,73,nr,55,61,nr,35,nr,nr,nr,49,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
04/02/2022,52,nr,44,nr,nr,56,nr,49,nr,nr,39,nr,47,79,nr,43,50,nr,33,nr,nr,nr,46,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
05/02/2022,71,nr,59,nr,nr,75,nr,69,nr,nr,56,nr,71,65,62,69,69,nr,36,nr,nr,nr,58,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
06/02/2022,73,nr,62,nr,nr,92,nr,90,nr,nr,66,nr,82,84,69,71,78,nr,39,nr,nr,nr,67,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
07/02/2022,59,nr,54,36,nr,73,nr,68,nr,nr,62,nr,69,54,50,57,60,nr,35,nr,nr,51,60,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
08/02/2022,71,nr,nr,41,nr,60,nr,54,nr,nr,44,nr,44,68,35,56,61,nr,31,29,nr,48,47,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
09/02/2022,85,nr,nr,55,nr,67,nr,66,nr,nr,45,nr,67,66,57,67,71,nr,43,51,nr,74,66,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
10/02/2022,59,nr,nr,41,nr,54,nr,46,nr,nr,42,nr,52,61,48,44,49,nr,35,50,nr,48,46,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
11/02/2022,53,nr,nr,40,nr,50,37,55,nr,nr,42,nr,45,53,41,46,44,nr,41,51,nr,43,34,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
12/02/2022,52,nr,nr,33,nr,47,34,49,nr,nr,56,nr,51,39,37,42,43,nr,41,44,nr,40,30,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
13/02/2022,63,nr,nr,48,nr,74,53,65,nr,nr,77,nr,81,55,60,66,65,nr,38,68,nr,69,60,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
14/02/2022,63,nr,70,46,nr,90,55,85,nr,nr,61,nr,83,68,65,73,73,nr,37,82,nr,61,60,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
15/02/2022,72,nr,70,54,nr,90,62,85,nr,nr,83,nr,98,62,65,76,88,nr,43,80,nr,79,76,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
16/02/2022,98,nr,61,64,nr,77,61,76,nr,nr,52,nr,77,75,66,82,82,nr,47,76,nr,82,76,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
17/02/2022,110,nr,74,69,nr,117,70,106,nr,nr,nr,nr,90,78,81,108,103,nr,66,112,nr,102,89,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
18/02/2022,85,nr,86,87,nr,126,70,123,nr,nr,nr,nr,141,79,34,108,109,nr,45,121,nr,91,102,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
19/02/2022,92,nr,89,83,nr,112,67,113,nr,nr,nr,nr,124,nr,nr,83,88,nr,66,104,nr,87,79,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
20/02/2022,76,nr,nr,67,nr,106,64,104,nr,nr,nr,nr,116,nr,nr,80,84,nr,62,89,nr,76,71,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
21/02/2022,72,nr,73,75,nr,91,61,91,nr,nr,nr,nr,107,nr,nr,81,86,nr,57,83,nr,79,81,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
22/02/2022,75,nr,98,71,nr,115,67,43,nr,nr,nr,nr,108,nr,nr,82,93,nr,70,110,nr,71,88,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
23/02/2022,66,nr,99,51,nr,80,47,85,nr,nr,nr,nr,84,67,nr,67,61,nr,73,67,nr,43,52,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
24/02/2022,58,nr,71,83,nr,86,65,83,nr,nr,nr,nr,111,94,nr,84,79,nr,46,76,nr,82,80,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
25/02/2022,79,nr,88,nr,nr,119,60,121,nr,nr,nr,nr,118,95,84,88,90,nr,53,108,nr,84,79,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
26/02/2022,79,nr,111,49,nr,100,50,100,nr,nr,nr,nr,93,70,64,70,82,nr,61,101,nr,70,64,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
27/02/2022,71,nr,80,48,nr,83,51,83,nr,nr,nr,nr,86,64,65,64,62,nr,68,74,nr,58,57,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
28/02/2022,57,nr,36,45,nr,71,43,75,nr,nr,nr,nr,79,57,54,60,60,nr,61,70,nr,56,54,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
01/03/2022,61,nr,nr,55,nr,75,54,85,nr,nr,nr,nr,92,72,63,65,63,nr,74,71,nr,63,54,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
02/03/2022,83,nr,nr,47,nr,106,58,117,nr,nr,nr,nr,119,74,73,85,84,nr,69,102,nr,80,76,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
03/03/2022,111,nr,nr,79,nr,131,68,133,nr,nr,nr,nr,113,86,81,104,105,nr,56,119,nr,99,85,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
04/03/2022,80,nr,nr,56,nr,77,46,93,nr,nr,nr,nr,96,74,63,79,76,nr,65,77,nr,75,73,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
05/03/2022,65,nr,nr,55,nr,62,38,71,nr,nr,nr,nr,69,87,61,52,53,nr,33,54,nr,59,50,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
06/03/2022,87,nr,nr,66,nr,103,52,94,nr,nr,nr,nr,104,115,78,82,92,nr,51,99,nr,85,102,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
07/03/2022,67,nr,nr,49,nr,97,43,113,nr,nr,nr,nr,114,76,62,72,73,nr,67,90,nr,69,65,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
08/03/2022,52,nr,nr,37,nr,49,33,48,nr,nr,nr,nr,55,63,40,46,48,nr,29,45,nr,49,44,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
09/03/2022,54,nr,nr,34,nr,53,32,58,nr,nr,nr,nr,50,54,38,46,51,nr,30,50,nr,50,44,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
10/03/2022,59,nr,63,39,nr,65,35,69,nr,nr,nr,nr,52,64,41,nr,56,nr,36,56,nr,53,48,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
11/03/2022,85,nr,73,41,nr,82,39,76,nr,nr,nr,nr,83,72,41,nr,58,nr,54,79,nr,64,46,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
12/03/2022,59,nr,78,78,nr,114,59,116,nr,nr,nr,nr,136,130,88,102,108,nr,50,105,nr,107,111,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
13/03/2022,93,nr,84,72,nr,120,61,112,nr,nr,nr,nr,138,123,97,99,102,nr,39,106,nr,100,106,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
14/03/2022,85,nr,91,71,nr,118,58,116,nr,nr,nr,nr,129,114,92,109,98,nr,42,108,nr,89,92,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
15/03/2022,71,nr,128,51,nr,108,48,113,nr,nr,nr,nr,111,64,66,90,81,nr,51,96,nr,59,57,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
16/03/2022,nr,nr,79,54,nr,90,51,103,nr,nr,nr,nr,92,68,66,91,97,nr,41,72,nr,60,82,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
17/03/2022,nr,nr,61,39,nr,76,46,77,nr,nr,nr,nr,60,71,58,80,67,nr,35,79,nr,63,52,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
18/03/2022,nr,nr,74,102,nr,83,64,81,nr,nr,nr,nr,93,115,86,98,88,nr,49,82,nr,92,89,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
19/03/2022,nr,nr,61,87,nr,74,50,73,nr,nr,nr,nr,90,109,72,66,66,nr,33,65,nr,62,67,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
20/03/2022,nr,nr,69,100,nr,95,59,nr,nr,nr,nr,nr,98,97,82,99,89,nr,36,95,nr,87,83,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
21/03/2022,nr,nr,71,75,nr,83,45,nr,nr,nr,nr,nr,70,87,57,85,75,nr,41,78,nr,76,68,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
22/03/2022,nr,nr,72,48,nr,82,40,nr,nr,nr,nr,nr,73,63,47,73,62,nr,48,75,nr,54,47,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
23/03/2022,nr,nr,66,55,nr,77,44,79,nr,nr,nr,nr,56,81,46,70,21,nr,39,70,nr,48,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
24/03/2022,nr,nr,78,89,nr,122,63,117,nr,nr,60,nr,46,83,88,115,nr,nr,72,116,nr,90,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
25/03/2022,nr,nr,113,84,nr,131,56,130,nr,nr,88,nr,nr,77,83,104,94,nr,78,119,nr,80,82,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
26/03/2022,nr,nr,129,70,nr,108,49,113,nr,nr,72,nr,90,66,61,78,79,nr,71,96,nr,62,71,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
27/03/2022,nr,nr,114,83,nr,112,50,nr,nr,nr,89,nr,101,82,70,95,86,nr,69,107,nr,75,74,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
28/03/2022,nr,nr,121,87,nr,111,53,nr,nr,nr,nr,nr,95,79,67,98,89,nr,70,101,nr,82,82,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
29/03/2022,nr,nr,98,139,nr,157,86,146,nr,nr,69,nr,143,106,115,145,138,nr,66,145,nr,116,141,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
30/03/2022,nr,nr,98,79,nr,87,38,80,nr,nr,78,nr,74,92,59,95,85,nr,64,78,nr,117,81,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
31/03/2022,nr,nr,79,119,nr,94,41,92,nr,nr,63,nr,88,142,98,75,75,nr,50,91,nr,72,86,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
01/04/2022,nr,nr,85,94,nr,91,13,89,nr,nr,63,nr,69,118,62,72,80,nr,38,82,nr,70,79,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
02/04/2022,nr,nr,101,105,nr,141,nr,151,nr,nr,108,nr,45,95,86,97,96,nr,63,119,nr,83,88,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
03/04/2022,nr,nr,107,78,nr,115,nr,123,nr,nr,80,nr,108,74,69,87,81,nr,52,105,nr,69,69,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
04/04/2022,nr,nr,90,124,nr,113,nr,109,nr,nr,72,nr,77,144,78,90,96,nr,44,88,nr,96,108,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
05/04/2022,nr,nr,77,103,nr,84,91,91,nr,nr,67,nr,77,112,65,65,67,nr,42,70,nr,69,73,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
06/04/2022,nr,nr,102,121,nr,152,141,147,nr,nr,108,nr,153,84,99,128,118,nr,62,139,nr,104,122,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
07/04/2022,nr,nr,118,94,nr,141,127,147,nr,nr,102,nr,147,81,89,102,97,nr,67,115,nr,80,98,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
08/04/2022,nr,nr,42,88,nr,121,89,125,nr,nr,92,nr,96,84,63,62,99,nr,36,114,nr,65,84,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
09/04/2022,nr,nr,nr,90,nr,118,129,119,nr,nr,96,nr,93,85,80,104,115,nr,49,112,nr,84,99,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
10/04/2022,nr,nr,nr,95,nr,97,91,87,nr,nr,64,nr,79,94,78,94,91,nr,38,95,nr,83,88,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
11/04/2022,nr,nr,63,88,nr,101,106,106,nr,nr,56,nr,75,96,76,96,100,nr,43,88,nr,97,94,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
12/04/2022,nr,nr,69,90,nr,92,94,84,nr,nr,56,nr,64,105,60,89,90,nr,42,81,nr,85,83,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
13/04/2022,106,nr,88,121,nr,117,118,116,nr,nr,60,nr,122,84,107,120,102,nr,53,105,nr,98,90,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
14/04/2022,95,nr,92,116,nr,150,135,153,nr,nr,72,nr,142,92,117,122,113,nr,58,132,nr,100,108,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
15/04/2022,75,nr,100,86,nr,112,83,112,nr,nr,70,nr,94,88,83,87,83,nr,63,96,nr,74,72,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
