Fecha,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2022,69,nr,131,69,nr,124,62,133,nr,nr,89,nr,124,38,91,100,107,nr,61,120,nr,76,101,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
02/01/2022,44,nr,68,44,nr,67,39,70,nr,nr,60,nr,70,49,49,53,52,nr,45,57,nr,43,48,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
03/01/2022,67,nr,nr,nr,nr,85,nr,89,nr,nr,94,nr,80,68,59,65,77,nr,46,nr,nr,nr,65,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
04/01/2022,62,nr,nr,nr,nr,86,nr,94,nr,nr,86,nr,74,73,56,99,117,nr,58,nr,nr,nr,105,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
05/01/2022,73,nr,nr,nr,nr,102,nr,98,nr,nr,86,nr,96,73,73,102,102,nr,58,nr,nr,nr,92,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
06/01/2022,81,nr,nr,nr,nr,95,nr,90,nr,nr,77,nr,86,107,89,92,89,nr,49,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
07/01/2022,46,nr,nr,nr,nr,57,nr,60,nr,nr,62,nr,66,60,48,63,62,nr,43,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
08/01/2022,77,nr,nr,nr,nr,79,nr,78,nr,nr,82,nr,72,64,68,76,69,nr,47,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
09/01/2022,59,nr,nr,nr,nr,76,nr,80,nr,nr,81,nr,87,65,60,67,67,nr,57,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
10/01/2022,41,nr,nr,nr,nr,59,nr,63,nr,nr,60,nr,60,43,44,44,43,nr,38,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
11/01/2022,37,nr,nr,nr,nr,40,nr,45,nr,nr,49,nr,43,35,33,44,16,nr,24,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
12/01/2022,56,nr,nr,nr,nr,61,nr,63,nr,nr,54,nr,69,51,49,52,nr,nr,48,nr,nr,nr,44,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
13/01/2022,22,nr,nr,nr,nr,62,nr,67,nr,nr,54,nr,62,48,46,50,nr,nr,45,nr,nr,nr,35,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
14/01/2022,nr,nr,nr,nr,nr,73,nr,79,nr,nr,86,nr,73,54,54,81,nr,nr,57,nr,nr,nr,54,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
15/01/2022,nr,nr,64,nr,nr,53,nr,57,nr,nr,60,nr,58,48,44,56,nr,nr,38,nr,nr,nr,35,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
16/01/2022,nr,nr,62,nr,nr,96,nr,93,nr,nr,67,nr,89,65,62,84,nr,nr,39,nr,nr,nr,74,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
17/01/2022,nr,nr,57,nr,nr,64,nr,68,nr,nr,73,nr,68,58,55,73,nr,nr,40,nr,nr,nr,60,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
18/01/2022,nr,nr,74,nr,nr,71,nr,78,nr,nr,75,nr,80,58,54,67,nr,nr,49,nr,nr,nr,56,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
19/01/2022,nr,nr,75,nr,nr,95,nr,92,nr,nr,89,nr,101,69,72,72,87,nr,53,nr,nr,nr,79,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
20/01/2022,nr,nr,73,nr,nr,82,nr,26,nr,nr,71,nr,80,79,74,81,80,nr,46,nr,nr,nr,73,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
21/01/2022,nr,nr,49,nr,nr,45,nr,45,nr,nr,48,nr,47,48,38,45,44,nr,35,nr,nr,nr,32,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
22/01/2022,nr,nr,71,nr,nr,64,nr,65,nr,nr,53,nr,60,61,50,54,56,nr,39,nr,nr,nr,51,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
23/01/2022,nr,nr,79,nr,nr,102,nr,103,nr,nr,58,nr,110,100,78,76,82,nr,32,nr,nr,nr,67,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
24/01/2022,nr,nr,53,nr,nr,53,nr,59,nr,nr,45,nr,41,44,34,46,47,nr,33,nr,nr,nr,38,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
25/01/2022,nr,nr,52,nr,nr,56,nr,58,nr,nr,52,nr,49,38,33,45,40,nr,37,nr,nr,nr,31,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
26/01/2022,nr,nr,59,nr,nr,74,nr,69,nr,nr,50,nr,94,103,27,60,65,nr,39,nr,nr,nr,66,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr
